1;4;23/01/2016;coffee,spaghetti sauce,chocolate cereals
2;3;30/01/2016;coffee,spaghetti sauce,chocolate cereals
3;4;25/03/2016;sugar,juice,milk
4;9;5/05/2016;cheese,diet cereals,sandwich bags,shaving cream,paper towels,fish,coffee
5;1;17/05/2016;nutella,flour,batteries,apples,frozen vegetables,rice,aluminum foil
6;2;17/05/2016;pinneaple,tea,orange cake,butter,lettuce
7;6;4/06/2016;dishwashing liquid,dog food,chocolate cookies,beef
8;8;13/06/2016;cheese,tomatos,diet cereals,yogurts,ice cream,pasta
9;5;31/06/2016;coffee,spaghetti sauce,chocolate cereals
10;10;11/08/2016;bagels,sugar,juice,milk
11;2;31/10/2016;cheese,tomatos,diet cereals,yogurts,frozen vegetables,rice,aluminum foil
12;5;12/11/2016;dog food,chocolate cookies,beef,shaving cream,paper towels,fish,coffee
13;7;30/11/2016;cheese,tomatos,diet cereals,yogurts,chocolate cookies